,id,x,y,unique_squi_id,Shift,Date,Age,primary_fur_color,Location,specific_location,running,Chasing,Climbing,Eating,Foraging,other_activities,Kuks,Quaas,Moans,tail_flags,tail_twitches,approaches,indifferent,runs_from
110,1112,-73.9763243383771,40.770540931570295,5C-PM-1010-13,PM,10102018,Adult,Gray,Above Ground,way up a tree!,False,False,True,False,False,not known,False,False,False,False,False,False,False,False
111,1113,-73.96517544644391,40.7755181941559,15I-AM-1008-01,AM,10082018,Adult,Gray,Above Ground,tree,False,False,True,True,False,not known,False,False,False,False,False,False,True,False
112,1114,-73.9700100617602,40.7815739959357,19B-PM-1018-01,PM,10182018,Adult,Gray,Above Ground,not known,True,False,False,False,False,flying,False,False,False,False,False,False,False,False
113,1115,-73.971905618214,40.776238547062995,13D-PM-1018-10,PM,10182018,Adult,Gray,Ground Plane,not known,False,False,False,False,True,not known,False,False,False,False,True,False,True,False
114,1116,-73.9530040923555,40.7922896176936,36I-PM-1007-10,PM,10072018,Juvenile,Gray,Ground Plane,not known,False,False,False,True,False,stole (found?) an entire sandwich,False,False,False,False,False,False,True,False
115,1117,-73.9572093760529,40.798848730021604,41B-AM-1010-06,AM,10102018,Adult,Gray,Above Ground,not known,False,False,True,False,False,not known,False,False,False,False,False,False,False,False
116,1118,-73.9607746337979,40.793958106938206,35B-AM-1010-01,AM,10102018,Adult,Gray,Ground Plane,lawn,False,False,False,False,False,walking w/ something in mouth,False,False,False,False,False,False,True,False
117,1119,-73.9566346046453,40.7973923396512,40D-PM-1013-01,PM,10132018,Adult,Gray,Ground Plane,not known,True,False,False,False,False,not known,False,False,False,False,False,False,False,False
118,1120,-73.9592038887673,40.796382675378,38B-PM-1018-02,PM,10182018,Adult,Gray,Ground Plane,not known,False,False,False,False,True,burying nut,False,False,False,False,False,False,False,False
119,1121,-73.9511118711108,40.7950813345902,40I-AM-1018-01,AM,10182018,Adult,Cinnamon,Ground Plane,not known,True,False,False,False,True,begging,False,False,False,False,False,False,False,False
120,1122,-73.97699397963821,40.7729537573035,7B-AM-1008-10,AM,10082018,Adult,Gray,Ground Plane,not known,False,False,False,False,True,not known,False,False,False,False,False,False,True,False
121,1123,-73.9712527809516,40.7763310392591,13D-AM-1014-08,AM,10142018,Adult,Gray,Ground Plane,not known,False,False,False,False,True,not known,False,False,False,False,False,False,False,True
122,1124,-73.9671147090087,40.7772624641112,16G-AM-1010-03,AM,10102018,Adult,Gray,Ground Plane,not known,False,False,False,False,True,was hanging out w/ #2 until i showed up,True,False,False,False,False,False,False,True
123,1125,-73.9588660250232,40.7982597947515,40A-AM-1010-03,AM,10102018,Adult,Gray,Ground Plane,bottom of great hill,False,False,False,True,True,not known,False,False,False,True,False,False,True,True
124,1126,-73.9651601541795,40.7761841788025,15I-PM-1012-07,PM,10122018,Adult,Cinnamon,Ground Plane,not known,True,False,False,False,True,not known,False,False,False,False,False,False,False,False
125,1127,-73.97921554736891,40.7693711799946,3B-PM-1007-11,PM,10072018,Adult,Gray,Above Ground,in tree,False,False,True,False,False,not known,False,False,False,False,False,False,False,False
126,1128,-73.96641005044359,40.7828778892276,21D-AM-1008-02,AM,10082018,Adult,Gray,Ground Plane,not known,False,False,False,False,True,not known,False,False,False,False,True,False,True,False
127,1129,-73.97462290946429,40.7748467061969,10B-PM-1014-05,PM,10142018,Adult,Gray,Ground Plane,not known,False,False,False,True,True,not known,False,False,False,False,True,False,False,False
128,1130,-73.9705092958892,40.7761092972965,13E-PM-1008-07,PM,10082018,Adult,Gray,Ground Plane,not known,False,False,False,True,True,not known,False,False,False,False,False,False,True,False
129,1131,-73.95816559494371,40.799770819002205,41A-PM-1007-06,PM,10072018,Adult,Black,Ground Plane,not known,True,False,True,True,False,not known,False,False,False,False,False,False,False,True
130,1132,-73.9755560786227,40.7662992317575,2F-AM-1006-05,AM,10062018,Adult,Gray,Ground Plane,not known,False,False,False,False,True,not known,False,False,False,False,False,False,False,False
131,1133,-73.9696433533986,40.7828208083804,20B-AM-1007-01,AM,10072018,Adult,Gray,Ground Plane,not known,False,False,False,False,True,quietly,False,False,False,False,False,False,True,False
132,1134,-73.9664711607022,40.787896428768,26A-PM-1006-06,PM,10062018,Adult,Gray,Ground Plane,Tree 90th left 90th & 89,False,False,True,False,False,not known,False,False,False,True,False,False,False,False
133,1135,-73.9575943815564,40.7933755266787,35E-PM-1006-07,PM,10062018,Adult,Gray,Ground Plane,not known,False,False,False,False,True,not known,False,False,False,False,False,False,True,True
134,1136,-73.9694168118643,40.7728877377977,11G-PM-1013-01,PM,10132018,Adult,Gray,Above Ground,In the Woods/Brush,False,False,True,False,True,not known,False,False,False,False,False,False,False,True
